SH,LIBELLES,year,production_fcfa,production_tonnes,consommation_fcfa,consommation_tonnes,imports_fcfa,exports_fcfa,imports_tonnes,exports_tonnes,year_normalized,years_since_start,economic_period,is_covid_period,balance_commerciale_fcfa,balance_commerciale_tonnes,taux_couverture,ratio_prod_conso_fcfa,ratio_prod_imports,intensite_export,prix_unitaire_production,prix_unitaire_imports,prix_unitaire_exports,total_production_fcfa,total_production_tonnes,part_marche_production,indice_specialisation,valeur_ajoutee_estimee,demande_interieure,taux_autosuffisance,production_fcfa_lag1,production_fcfa_lag2,production_tonnes_lag1,production_tonnes_lag2,imports_fcfa_lag1,imports_fcfa_lag2,exports_fcfa_lag1,exports_fcfa_lag2,production_fcfa_growth,production_tonnes_growth,imports_fcfa_growth,exports_fcfa_growth,production_fcfa_ma3,production_tonnes_ma3,imports_fcfa_ma3,exports_fcfa_ma3,production_trend,sector_encoded,period_encoded,sector_size_category,sector_size_encoded
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2015,3.9,21.4,3.7,13.8,3.8,0.1,17.6,3.8,0.1111111111111111,1,pre_2017,0,-3.6999999999999997,-13.8,2.6315789473684212,1.054054054054054,1.0263157894736843,2.5641025641025643,0.18224299065420563,0.21590909090909088,0.026315789473684213,3126.4,6266.0,0.12474411463664278,81.07967893761743,-0.18959330143540667,7.6,51.31578947368421,7.6,0.0,23.8,0.0,7.5,0.0,0.1,0.0,-48.68421052631579,-10.084033613445387,-49.333333333333336,0.0,5.75,22.6,5.65,0.1,0.14848484848484844,3,3,small,2
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2016,8.3,69.0,8.3,66.6,8.3,0.0,67.8,1.2,0.2222222222222222,2,pre_2017,0,-8.3,-66.6,0.0,1.0,1.0,0.0,0.12028985507246377,0.12241887905604722,0.0,3483.8,7737.0,0.23824559389172742,154.8520049808349,-0.12241887905604722,16.6,50.0,3.9,7.6,21.4,23.8,3.8,7.5,0.1,0.1,112.82051282051285,222.42990654205607,118.42105263157899,-100.0,6.6000000000000005,38.06666666666667,6.533333333333334,0.06666666666666667,0.14848484848484844,3,3,small,2
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2017,5.8,27.4,5.8,25.6,5.8,0.0,26.5,0.9,0.3333333333333333,3,2017_2019,0,-5.8,-25.6,0.0,1.0,1.0,0.0,0.2116788321167883,0.2188679245283019,0.0,3979.1,7398.3,0.14576160438290064,94.74037407874665,-0.2188679245283019,11.6,50.0,8.3,3.9,69.0,21.4,8.3,3.8,0.0,0.1,-30.120481927710852,-60.28985507246377,-30.120481927710852,0.0,6.0,39.26666666666667,5.966666666666668,0.03333333333333333,0.14848484848484844,3,0,small,2
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2018,6.6,26.1,6.6,25.7,6.6,0.0,25.9,0.2,0.4444444444444444,4,2017_2019,0,-6.6,-25.7,0.0,1.0,1.0,0.0,0.2528735632183908,0.2548262548262548,0.0,4259.1,7462.1,0.15496231598224974,100.72054191789302,-0.2548262548262548,13.2,50.0,5.8,8.3,27.4,69.0,5.8,8.3,0.0,0.0,13.79310344827586,-4.744525547445246,13.79310344827586,0.0,6.8999999999999995,40.833333333333336,6.8999999999999995,0.0,0.14848484848484844,3,0,small,2
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2019,5.9,28.1,5.9,27.5,5.9,0.0,27.8,0.3,0.5555555555555556,5,2017_2019,0,-5.9,-27.5,0.0,1.0,1.0,0.0,0.2099644128113879,0.21223021582733814,0.0,4406.3,7113.4,0.13389918979642784,87.03018455279044,-0.21223021582733814,11.8,50.0,6.6,5.8,26.1,27.4,6.6,5.8,0.0,0.0,-10.606060606060595,7.662835249042145,-10.606060606060595,0.0,6.1000000000000005,27.2,6.1000000000000005,0.0,0.14848484848484844,3,0,small,2
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2020,5.3,26.7,5.3,26.1,5.3,0.0,26.4,0.3,0.6666666666666666,6,2020_2021,1,-5.3,-26.099999999999998,0.0,1.0,1.0,0.0,0.19850187265917602,0.20075757575757577,0.0,4923.6,8625.5,0.10764481273864651,69.96568039760388,-0.20075757575757577,10.6,50.0,5.9,6.6,28.1,26.1,5.9,6.6,0.0,0.0,-10.169491525423737,-4.982206405693958,-10.169491525423737,0.0,5.933333333333333,26.96666666666667,5.933333333333333,0.0,0.14848484848484844,3,1,small,2
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2021,7.3,31.4,7.1000000000000005,30.4,7.2,0.1,30.9,0.5,0.7777777777777778,7,2020_2021,1,-7.1000000000000005,-30.4,1.388888888888889,1.028169014084507,1.0138888888888888,1.3698630136986303,0.23248407643312102,0.23300970873786409,0.2,5418.6,9230.5,0.13472114568338683,87.5644295519204,-0.033009708737864074,14.4,50.69444444444444,5.3,5.9,26.7,28.1,5.3,5.9,0.0,0.0,37.735849056603776,17.602996254681646,35.84905660377359,0.0,6.166666666666667,28.733333333333334,6.133333333333334,0.03333333333333333,0.14848484848484844,3,1,small,2
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2022,7.399999999999999,28.2,7.2,27.8,7.3,0.1,28.0,0.2,0.8888888888888888,8,post_2021,0,-7.2,-27.8,1.3698630136986303,1.0277777777777775,1.0136986301369861,1.3513513513513515,0.26241134751773043,0.26071428571428573,0.5,6364.8,10285.6,0.11626445449974859,75.56817145366004,0.23928571428571427,14.6,50.68493150684931,7.3,5.3,31.4,26.7,7.2,5.3,0.1,0.0,1.369863013698613,-10.191082802547768,1.388888888888884,0.0,6.666666666666665,28.766666666666666,6.599999999999999,0.06666666666666667,0.14848484848484844,3,2,small,2
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2023,8.4,33.5,8.200000000000001,33.099999999999994,8.3,0.1,33.3,0.2,1.0,9,post_2021,0,-8.200000000000001,-33.099999999999994,1.2048192771084336,1.0243902439024388,1.0120481927710843,1.1904761904761905,0.25074626865671645,0.2492492492492493,0.5,6286.9,11284.7,0.13361115971305415,86.84297422425239,0.2507507507507507,16.6,50.602409638554214,7.399999999999999,7.3,28.2,31.4,7.3,7.2,0.1,0.1,13.513513513513539,18.794326241134755,13.698630136986315,0.0,7.7,31.03333333333333,7.6000000000000005,0.1,0.14848484848484844,3,2,small,2
III,Graisses et huiles animales ou végétales,2014,23.9,95.6,8.700000000000001,63.2,16.3,7.6,79.4,16.2,0.0,0,pre_2017,0,-8.700000000000001,-63.2,46.62576687116564,2.747126436781609,1.4662576687116562,31.799163179916317,0.25,0.2052896725440806,0.4691358024691358,3056.1,5761.5,0.7820424724321848,103.53799839890341,0.2638461299250552,32.6,73.3128834355828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.9,95.6,16.3,7.6,1.5127272727272725,4,3,medium,1
