year,LIBELLES,imports_fcfa,exports_fcfa,imports_tonnes,exports_tonnes
2018,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",17.5,0.2,114.6,2.1
2019,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",22.5,0.1,154.7,1.3
2020,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",25.7,0.0,153.7,2.2
2021,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",29.0,0.0,165.4,2.1
2022,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",35.9,0.2,186.1,0.5
2023,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",36.9,0.1,185.9,2.1
2014,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",0.4,722.4,2.1,0.0
2015,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",0.3,795.5,1.7,0.0
2016,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",0.2,922.2,1.1,0.0
2017,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",0.3,1088.4,1.7,0.1
2018,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",0.4,1192.4,1.3,0.1
2019,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",0.2,1330.9,1.0,0.1
2020,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",0.3,2054.6,1.7,0.1
2021,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",0.6,2176.0,2.0,0.1
2022,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",0.9,2102.3,2.7,0.1
2023,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",0.9,2133.6,2.5,0.1
2014,"Armes, munitions et leurs parties et accessoires",2.2,0.0,0.4,0.0
2015,"Armes, munitions et leurs parties et accessoires",2.3,0.1,0.5,0.0
2016,"Armes, munitions et leurs parties et accessoires",4.3,0.5,0.5,0.0
2017,"Armes, munitions et leurs parties et accessoires",3.4,0.1,0.3,0.0
2018,"Armes, munitions et leurs parties et accessoires",6.9,0.2,0.4,0.0
2019,"Armes, munitions et leurs parties et accessoires",2.2,0.5,0.3,0.0
2020,"Armes, munitions et leurs parties et accessoires",2.0,0.1,0.4,0.0
