SH,LIBELLES,year,production_fcfa,production_tonnes,consommation_fcfa,consommation_tonnes,imports_fcfa,exports_fcfa,imports_tonnes,exports_tonnes
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2020,130.4,343.2,109.8,201.2,120.1,10.3,272.2,71.0
IX,"Bois, charbons de bois et ouvrages en bois",2020,5.3,43.7,5.1000000000000005,41.3,5.2,0.1,42.5,1.2
V,Produits minéraux,2020,839.5,4492.7,667.9000000000001,3188.7,753.7,85.8,3840.7,652.0
VI,Produits des industries chimiques et connexes,2020,319.7,519.1,302.7,486.3,311.2,8.5,502.7,16.4
VII,Matières plastiques et ouvrages en ces matières,2020,90.2,120.1,88.39999999999999,115.9,89.3,0.9,118.0,2.1
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2020,2.6,10.2,2.6,10.2,2.6,0.0,10.2,0.0
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2020,30.6,46.7,30.2,46.5,30.4,0.2,46.6,0.1
XI,Matières textiles et ouvrages en ces matières,2020,204.0,308.1,-103.8,-31.5,50.1,153.9,138.3,169.8
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2020,5.3,26.7,5.3,26.1,5.3,0.0,26.4,0.3
XIII,"Ouvrages en pierres, plâtres, ciments, amiante, mica ou matières analogues",2020,25.7,155.89999999999998,25.7,151.5,25.7,0.0,153.7,2.2
XIV,"Perles fines ou de culture, pierres gemmes ou similaires, métaux précieux, plaques ou doubles de métaux précieux et ouvrages en ces matières; bijouterie de fantaisie; monnaies",2020,2054.9,1.8,-2054.3,1.6,0.3,2054.6,1.7,0.1
XIX,"Armes, munitions et leurs parties et accessoires",2020,2.1,0.4,1.9,0.4,2.0,0.1,0.4,0.0
XV,Métaux communs et ouvrages en ces métaux,2020,195.5,498.4,172.3,426.4,183.9,11.6,462.4,36.0
XVI,"Machines et appareils, matériel électrique et leurs parties, etc.",2020,426.7,226.4,386.9,111.8,406.8,19.9,169.1,57.3
XVII,Matériel de transport,2020,200.2,184.8,183.4,179.4,191.8,8.4,182.1,2.7
XVIII,"Instruments et appareils d'optique, de photographie ou de cinématographique, etc.",2020,41.1,5.2,39.9,5.2,40.5,0.6,5.2,0.0
XX,Marchandises et produits divers,2020,23.1,33.0,20.9,32.0,22.0,1.1,32.5,0.5
XXI,"Objets d'art, de collection ou d'antiquité",2020,0.2,0.2,-0.2,0.0,0.0,0.2,0.1,0.1
Ensemble,TOTAL,2021,5418.6,9230.5,-193.5999999999999,5835.1,2612.5,2806.1,7532.8,1697.7
I,Animaux vivants et produits du règne animal,2021,30.5,193.6,28.5,190.4,29.5,1.0,192.0,1.6
II,Produit du règne végétal,2021,269.6,1118.0,-33.79999999999998,324.40000000000003,117.9,151.7,721.2,396.8
III,Graisses et huiles animales ou végétales,2021,30.3,56.8,-5.900000000000002,7.799999999999997,12.2,18.1,32.3,24.5
IV,"Produits des industries alimentaires : boissons, alcool, etc.",2021,169.6,384.8,131.4,239.2,150.5,19.1,312.0,72.8
IX,"Bois, charbons de bois et ouvrages en bois",2021,5.5,43.4,5.300000000000001,42.4,5.4,0.1,42.9,0.5
V,Produits minéraux,2021,997.6,5281.6,761.0,3551.4,879.3,118.3,4416.5,865.1
VI,Produits des industries chimiques et connexes,2021,312.5,461.9,297.1,425.5,304.8,7.7,443.7,18.2
VII,Matières plastiques et ouvrages en ces matières,2021,107.1,124.5,102.5,119.5,104.8,2.3,122.0,2.5
VIII,"Peaux, cuirs, pelleteries et ouvrages en ces matières",2021,3.9,14.9,3.7,14.7,3.8,0.1,14.8,0.1
X,Pâtes de bois ou d'autres matières fibreuses cellulosiques,2021,40.3,53.4,39.7,52.8,40.0,0.3,53.1,0.3
XI,Matières textiles et ouvrages en ces matières,2021,302.9,398.1,-207.5,-125.10000000000002,47.7,255.2,136.5,261.6
XII,"Chaussures, coiffures, parapluie, cannes, etc.",2021,7.3,31.4,7.1000000000000005,30.4,7.2,0.1,30.9,0.5
